model,prompt,story_id,topic_switch_rate,n_sentences
human,original,8085,0.4703820813728717,6.0
human,original,8154,0.4138406561854665,6.0
human,original,8551,0.28352780403239247,8.0
human,original,9334,0.10950479950086289,6.0
human,original,9418,0.5251291798251447,6.0
human,original,9914,0.10578640311875967,5.0
human,original,10408,0.5527160868563368,6.0
human,original,10486,0.1686160475953137,6.0
human,original,10499,0.4512927016602652,5.0
human,original,11260,0.47800933362682835,5.0
human,original,11340,0.5619576522074304,5.0
human,original,11457,0.33412262805608606,5.0
human,original,11541,0.5121391883630926,5.0
human,original,11543,0.5757610805046688,5.0
human,original,11678,0.5350876950442796,5.0
human,original,11719,0.34728753069949436,5.0
human,original,12358,0.6105937225743998,5.0
human,original,12423,0.5037411583057526,6.0
human,original,13596,0.40343755511836604,5.0
human,original,13683,0.168354700606285,6.0
internvl3,large,345,0.33937599876003005,6.0
internvl3,large,515,0.5876689089422769,9.0
internvl3,large,721,0.5758165964932556,5.0
internvl3,large,723,0.4846311087807402,4.0
internvl3,large,733,0.05214532691766686,6.0
internvl3,large,948,0.05521050639110223,7.0
internvl3,large,1111,0.2659759651277346,5.0
internvl3,large,1201,0.5804524494215604,8.0
internvl3,large,1214,0.538684241665517,7.0
internvl3,large,1467,0.16222493246657593,5.0
internvl3,large,2400,0.4473170971104373,8.0
internvl3,large,2702,0.03562021521142734,6.0
internvl3,large,2722,0.11412604346505255,5.0
internvl3,large,2926,0.5265699324963939,6.0
internvl3,large,3230,0.17032477237153215,6.0
internvl3,large,3295,0.5620249580844006,6.0
internvl3,large,3761,0.3429946930286423,4.0
internvl3,large,3891,0.052690796211855094,5.0
internvl3,large,4047,0.009683745033812911,6.0
internvl3,large,4173,0.4014419717863803,5.0
internvl3,large,4797,0.01580872216983103,7.0
internvl3,large,5047,0.5986757788515892,5.0
internvl3,large,5062,0.2965727009006554,5.0
internvl3,large,5201,0.6457243256561805,9.0
internvl3,large,5265,0.39818758346065725,9.0
internvl3,large,5349,0.5518851437315686,6.0
internvl3,large,5540,0.111649261055039,5.0
internvl3,large,5721,0.12772837173421187,5.0
internvl3,large,6111,0.1916034702720803,7.0
internvl3,large,6215,0.495709194535512,7.0
internvl3,large,6729,0.10248629594539074,4.0
internvl3,large,6847,0.18445578477735497,9.0
internvl3,large,6878,0.3397469721021461,8.0
internvl3,large,6921,0.3200958579950863,7.0
internvl3,large,7065,0.1978724552847372,5.0
internvl3,large,7150,0.3021834130020097,5.0
internvl3,large,7195,0.5786594123631987,11.0
internvl3,large,7596,0.19756945275846222,6.0
internvl3,large,7702,0.31167287413772043,7.0
internvl3,large,8061,0.48718534168065963,8.0
internvl3,large,8085,0.4662718048763095,6.0
internvl3,large,8154,0.6112543793094639,6.0
internvl3,large,8551,0.6901947038349119,2.0
internvl3,large,9334,0.049508993300890126,7.0
internvl3,large,9418,0.10623374180394392,6.0
internvl3,large,9914,0.11965123599129275,7.0
internvl3,large,10408,0.3992230622998215,8.0
internvl3,large,10486,0.0674673969977346,6.0
internvl3,large,10499,0.10623823582814793,5.0
internvl3,large,11260,0.018768357853609568,6.0
internvl3,large,11340,0.00765370820011591,5.0
internvl3,large,11457,0.5874918991637725,5.0
internvl3,large,11541,0.04625394468083978,5.0
internvl3,large,11543,0.05055500340366682,5.0
internvl3,large,11678,0.2552027849493218,5.0
internvl3,large,11719,0.0045922249200695455,5.0
internvl3,large,12358,0.6764848059372393,5.0
internvl3,large,12423,0.16672246589671735,6.0
internvl3,large,13596,0.4208676690814516,7.0
internvl3,large,13683,0.37822150451852127,6.0
internvl3,original,345,0.3100321968851959,6.0
internvl3,original,515,0.5103959435277144,7.0
internvl3,original,721,0.5533858069248384,7.0
internvl3,original,723,0.26097633943595827,6.0
internvl3,original,733,0.07355597514967034,6.0
internvl3,original,948,0.0481688686273163,7.0
internvl3,original,1111,0.1579313584488004,6.0
internvl3,original,1201,0.38511942569745516,5.0
internvl3,original,1214,0.5076186848749576,7.0
internvl3,original,1467,0.16169707773511918,6.0
internvl3,original,2400,0.4862430417872784,8.0
internvl3,original,2702,0.044499043829367264,6.0
internvl3,original,2722,0.020006531485337924,5.0
internvl3,original,2926,0.5292638291988014,6.0
internvl3,original,3230,0.08774796668644369,6.0
internvl3,original,3295,0.4476683133105701,6.0
internvl3,original,3761,0.4443677081598175,5.0
internvl3,original,3891,0.22838015735189554,9.0
internvl3,original,4047,0.016505077854873776,8.0
internvl3,original,4173,0.10054221908601335,6.0
internvl3,original,4797,0.1129118417898209,5.0
internvl3,original,5047,0.13005667385516245,6.0
internvl3,original,5062,0.4124318353920254,4.0
internvl3,original,5201,0.515455706363154,9.0
internvl3,original,5265,0.06859223879521736,5.0
internvl3,original,5349,0.506332296666364,6.0
internvl3,original,5540,0.15500129352410014,5.0
internvl3,original,5721,0.47948232026479715,5.0
internvl3,original,6111,0.2496409915600249,5.0
internvl3,original,6215,0.2877417961161304,6.0
internvl3,original,6729,0.23465031762936403,5.0
internvl3,original,6847,0.36504881998470706,5.0
internvl3,original,6878,0.4138578194991312,6.0
internvl3,original,6921,0.29037188668258246,6.0
internvl3,original,7065,0.20359615074575327,6.0
internvl3,original,7150,0.34803561545837525,5.0
internvl3,original,7195,0.3631365594599568,5.0
internvl3,original,7596,0.05245464316888663,6.0
internvl3,original,7702,0.47661656244954004,5.0
internvl3,original,8061,0.48995718129257054,9.0
internvl3,original,8085,0.44317908029627634,9.0
internvl3,original,8154,0.5227740500908358,6.0
internvl3,original,8551,0.4215787835177406,5.0
