model,prompt,story_id,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
gpt4o,original,story_3230,4.0,11.0,0.0,0.0,0.34841301253861207
gpt4o,original,story_3295,3.0,12.0,0.0,0.0,0.24491866240370913
gpt4o,original,story_345,4.0,11.0,0.0,0.0,0.34841301253861207
gpt4o,original,story_3761,4.0,11.0,0.0,0.0,0.34841301253861207
gpt4o,original,story_3891,3.0,9.0,0.0,0.0,0.32151273753163434
gpt4o,original,story_4047,2.0,7.0,0.0,0.0,0.27818549032570244
gpt4o,original,story_4173,3.0,14.0,0.0,0.0,0.21106497444117137
gpt4o,original,story_4797,4.0,12.0,0.0,0.0,0.32151273753163434
gpt4o,original,story_5047,3.0,7.0,0.0,0.0,0.4041267397578591
gpt4o,original,story_5062,4.0,11.0,0.0,0.0,0.34841301253861207
gpt4o,original,story_515,4.0,13.0,0.0,0.0,0.29833624997754543
gpt4o,original,story_5201,4.0,15.0,0.0,0.0,0.2605204458355026
gpt4o,original,story_5265,3.0,15.0,0.0,0.0,0.197375320224904
gpt4o,original,story_5349,3.0,12.0,0.0,0.0,0.24491866240370913
gpt4o,original,story_5540,4.0,13.0,0.0,0.0,0.29833624997754543
gpt4o,original,story_5721,3.0,10.0,0.0,0.0,0.2913126124515909
gpt4o,original,story_6111,4.0,13.0,0.0,0.0,0.29833624997754543
gpt4o,original,story_6215,3.0,13.0,0.0,0.0,0.22675815692505177
gpt4o,original,story_6729,4.0,15.0,0.0,0.0,0.2605204458355026
gpt4o,original,story_6847,2.0,9.0,0.0,0.0,0.2186350836871213
gpt4o,original,story_6878,3.0,10.0,0.0,0.0,0.2913126124515909
gpt4o,original,story_6921,4.0,12.0,0.0,0.0,0.32151273753163434
gpt4o,original,story_7065,3.0,12.0,0.0,0.0,0.24491866240370913
gpt4o,original,story_7150,4.0,13.0,0.0,0.0,0.29833624997754543
gpt4o,original,story_7195,3.0,12.0,0.0,0.0,0.24491866240370913
gpt4o,original,story_721,3.0,12.0,0.0,0.0,0.24491866240370913
gpt4o,original,story_723,4.0,17.0,0.0,0.0,0.2310459486864189
gpt4o,original,story_733,5.0,14.0,0.0,0.0,0.34269490696545996
gpt4o,original,story_7596,3.0,13.0,0.0,0.0,0.22675815692505177
gpt4o,original,story_7702,3.0,11.0,0.0,0.0,0.26616073850966504
gpt4o,original,story_8061,3.0,10.0,0.0,0.0,0.2913126124515909
gpt4o,original,story_8085,2.0,8.0,0.0,0.0,0.24491866240370913
gpt4o,original,story_8154,3.0,14.0,0.0,0.0,0.21106497444117137
gpt4o,original,story_8551,4.0,10.0,0.0,0.0,0.3799489622552249
gpt4o,original,story_9334,1.0,6.0,0.0,0.0,0.16514041292462933
gpt4o,original,story_9418,3.0,13.0,0.0,0.0,0.22675815692505177
gpt4o,original,story_948,3.0,14.0,0.0,0.0,0.21106497444117137
gpt4o,original,story_9914,3.0,10.0,0.0,0.0,0.2913126124515909
human,large,story_10408,4.0,10.666666666666666,0.0,0.0,0.3570345992190667
human,large,story_10486,3.3333333333333335,9.333333333333334,0.0,0.0,0.3355158217065131
human,large,story_10499,2.6666666666666665,7.0,0.0,0.0,0.34284951906511774
human,large,story_1111,2.0,6.333333333333333,0.0,0.0,0.3284071033298071
human,large,story_11260,2.6666666666666665,10.333333333333334,0.0,0.0,0.25161622372872
human,large,story_11340,3.0,7.0,0.0,0.0,0.40031718161683844
human,large,story_11457,4.0,13.333333333333334,0.0,0.0,0.3207577368016094
human,large,story_11541,3.3333333333333335,6.0,0.0,0.0,0.4886305616766046
human,large,story_11543,3.0,8.0,0.0,0.0,0.3871892346194954
human,large,story_11678,2.6666666666666665,5.333333333333333,0.0,0.0,0.485207835999361
human,large,story_11719,3.0,6.333333333333333,0.0,0.0,0.44278701809262616
human,large,story_1201,4.0,11.333333333333334,0.0,0.0,0.3496728755190747
human,large,story_1214,2.6666666666666665,10.333333333333334,0.0,0.0,0.2727777705148194
human,large,story_12358,4.666666666666667,17.333333333333332,0.0,0.0,0.2951813629334989
human,large,story_12423,3.0,9.666666666666666,0.0,0.0,0.2958074452343098
human,large,story_13596,3.6666666666666665,14.0,0.0,0.0,0.2657063594085239
human,large,story_13683,4.0,15.333333333333334,0.0,0.0,0.3148077524891868
human,large,story_1467,3.0,8.666666666666666,0.0,0.0,0.3201921874800419
human,large,story_2400,3.3333333333333335,9.0,0.0,0.0,0.37478582324086335
human,large,story_2702,2.6666666666666665,10.0,0.0,0.0,0.24724051635342384
human,large,story_2722,2.3333333333333335,5.666666666666667,0.0,0.0,0.3795172089935994
human,large,story_2926,3.3333333333333335,8.666666666666666,0.0,0.0,0.3359684966745086
human,large,story_3230,4.0,15.333333333333334,0.0,0.0,0.25353516513083835
human,large,story_3295,2.3333333333333335,7.666666666666667,0.0,0.0,0.27941677911534346
human,large,story_345,3.0,14.0,0.0,0.0,0.2584685277532951
human,large,story_3761,3.6666666666666665,19.666666666666668,0.0,0.0,0.2144136865093782
human,large,story_3891,2.3333333333333335,5.333333333333333,0.0,0.0,0.4153976197576979
human,large,story_4047,3.6666666666666665,14.0,0.0,0.0,0.27124282999861044
human,large,story_4173,2.3333333333333335,8.333333333333334,0.0,0.0,0.2727777705148194
human,large,story_4797,4.0,11.0,0.0,0.0,0.38187072401756245
human,large,story_5047,3.0,18.666666666666668,0.0,0.0,0.16758280481777443
human,large,story_5062,4.333333333333333,11.666666666666666,0.0,0.0,0.3754843046784133
human,large,story_515,4.0,16.666666666666668,0.0,0.0,0.24026109404946863
human,large,story_5201,4.666666666666667,12.0,0.0,0.0,0.4037579560902653
human,large,story_5265,2.3333333333333335,4.666666666666667,0.0,0.0,0.5523337071015287
human,large,story_5349,3.6666666666666665,14.0,0.0,0.0,0.34288289488371354
human,large,story_5540,3.6666666666666665,16.0,0.0,0.0,0.2915154545374919
human,large,story_5721,4.0,11.0,0.0,0.0,0.42960954537438517
human,large,story_6111,4.0,12.333333333333334,0.0,0.0,0.3521783251182589
human,large,story_6215,3.3333333333333335,8.0,0.0,0.0,0.4061643550311566
human,large,story_6729,4.666666666666667,17.333333333333332,0.0,0.0,0.2997803729500402
human,large,story_6847,3.6666666666666665,13.666666666666666,0.0,0.0,0.3169350299788349
human,large,story_6878,3.0,9.0,0.0,0.0,0.33493886230471964
human,large,story_6921,1.6666666666666667,6.666666666666667,0.0,0.0,0.23705344881647364
human,large,story_7065,3.6666666666666665,11.0,0.0,0.0,0.32714247203491326
human,large,story_7150,3.0,13.333333333333334,0.0,0.0,0.25653124823173407
human,large,story_7195,3.3333333333333335,7.666666666666667,0.0,0.0,0.4149232099930056
human,large,story_721,2.6666666666666665,5.0,0.0,0.0,0.5523337071015287
human,large,story_723,3.6666666666666665,15.333333333333334,0.0,0.0,0.2382384661907013
human,large,story_733,4.333333333333333,18.666666666666668,0.0,0.0,0.22741756696004
human,large,story_7596,2.0,6.0,0.0,0.0,0.30826293276204314
human,large,story_7702,3.0,8.333333333333334,0.0,0.0,0.3409914791061645
human,large,story_8061,3.0,7.333333333333333,0.0,0.0,0.4686191456259603
human,large,story_8085,3.3333333333333335,6.666666666666667,0.0,0.0,0.42428324596009875
human,large,story_8154,2.3333333333333335,6.333333333333333,0.0,0.0,0.335735510813288
human,large,story_8551,5.0,13.333333333333334,0.0,0.0,0.4006624218158858
human,large,story_9334,3.3333333333333335,12.666666666666666,0.0,0.0,0.2670867695301011
human,large,story_9418,4.0,13.333333333333334,0.0,0.0,0.3003238995855551
human,large,story_948,4.666666666666667,11.0,0.0,0.0,0.4076482218554634
