model,prompt,seed,doc,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
human,large,seed42,story_9418,2,5,0,0.0,0.3799489622552249
human,large,seed42,story_948,2,4,0,0.0,0.46211715726000974
human,large,seed42,story_9914,3,4,0,0.0,0.6351489523872873
human,large,seed43,story_10408,3,5,0,0.0,0.5370495669980352
human,large,seed43,story_10486,3,5,0,0.0,0.5370495669980352
human,large,seed43,story_10499,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_1111,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_11260,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_11340,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_11457,3,4,0,0.0,0.6351489523872873
human,large,seed43,story_11541,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_11543,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_11678,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_11719,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_1201,3,4,0,0.0,0.6351489523872873
human,large,seed43,story_1214,2,5,0,0.0,0.3799489622552249
human,large,seed43,story_12358,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_12423,1,5,0,0.0,0.197375320224904
human,large,seed43,story_13596,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_13683,1,5,0,0.0,0.197375320224904
human,large,seed43,story_1467,3,4,0,0.0,0.6351489523872873
human,large,seed43,story_2400,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_2702,1,5,0,0.0,0.197375320224904
human,large,seed43,story_2722,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_2926,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_3230,4,4,0,0.0,0.7615941559557649
human,large,seed43,story_3295,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_345,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_3761,3,4,0,0.0,0.6351489523872873
human,large,seed43,story_3891,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_4047,2,7,0,0.0,0.27818549032570244
human,large,seed43,story_4173,2,7,0,0.0,0.27818549032570244
human,large,seed43,story_4797,3,4,0,0.0,0.6351489523872873
human,large,seed43,story_5047,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_5062,4,4,0,0.0,0.7615941559557649
human,large,seed43,story_515,1,8,0,0.0,0.12435300177159621
human,large,seed43,story_5201,2,8,0,0.0,0.24491866240370913
human,large,seed43,story_5265,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_5349,2,5,0,0.0,0.3799489622552249
human,large,seed43,story_5540,2,4,0,0.0,0.46211715726000974
human,large,seed43,story_5721,3,4,0,0.0,0.6351489523872873
human,large,seed43,story_6111,3,4,0,0.0,0.6351489523872873
human,large,seed43,story_6215,2,6,0,0.0,0.32151273753163434
human,large,seed43,story_6729,3,8,0,0.0,0.35835739835078595
human,large,seed43,story_6847,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_6878,1,4,0,0.0,0.24491866240370913
human,large,seed43,story_6921,1,6,0,0.0,0.16514041292462933
