model,prompt,story_id,n_unique_relations,n_total_relations,n_none_relations,none_rate,discourse_diversity
human,original,515,2.0,9.0,0.0,0.0,0.2186350836871213
human,original,5201,4.0,9.0,0.0,0.0,0.4173216500588711
human,original,5265,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,5349,2.0,5.0,0.0,0.0,0.3799489622552249
human,original,5721,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,6111,3.0,4.0,0.0,0.0,0.6351489523872873
human,original,6215,3.0,6.0,0.0,0.0,0.46211715726000974
human,original,6729,2.0,8.0,0.0,0.0,0.24491866240370913
human,original,6847,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,6878,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,6921,4.0,6.0,0.0,0.0,0.5827829453479101
human,original,7065,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,7150,1.0,4.0,0.0,0.0,0.24491866240370913
human,original,721,3.0,4.0,0.0,0.0,0.6351489523872873
human,original,723,4.0,9.0,0.0,0.0,0.4173216500588711
human,original,733,3.0,5.0,0.0,0.0,0.5370495669980352
human,original,7596,2.0,5.0,0.0,0.0,0.3799489622552249
human,original,7702,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,8061,2.0,7.0,0.0,0.0,0.27818549032570244
human,original,8085,3.0,5.0,0.0,0.0,0.5370495669980352
human,original,8154,4.0,5.0,0.0,0.0,0.664036770267849
human,original,8551,4.0,7.0,0.0,0.0,0.5164076551851798
human,original,9334,1.0,5.0,0.0,0.0,0.197375320224904
human,original,9418,3.0,5.0,0.0,0.0,0.5370495669980352
human,original,948,2.0,4.0,0.0,0.0,0.46211715726000974
human,original,9914,2.0,4.0,0.0,0.0,0.46211715726000974
internvl3,large,10408,2.0,7.0,0.0,0.0,0.27818549032570244
internvl3,large,10486,3.0,5.0,0.0,0.0,0.5370495669980352
internvl3,large,1111,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,large,11260,3.0,5.0,0.0,0.0,0.5370495669980352
internvl3,large,11340,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,large,11457,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,large,11541,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,large,11543,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,large,11678,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,large,11719,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,large,1201,3.0,7.0,0.0,0.0,0.4041267397578591
internvl3,large,12358,3.0,4.0,0.0,0.0,0.6351489523872873
internvl3,large,12423,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,large,13596,3.0,6.0,0.0,0.0,0.46211715726000974
internvl3,large,13683,2.0,5.0,0.0,0.0,0.3799489622552249
internvl3,large,1467,2.0,4.0,0.0,0.0,0.46211715726000974
internvl3,large,2400,2.0,7.0,0.0,0.0,0.27818549032570244
internvl3,large,2702,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,large,2722,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,large,2926,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,large,3230,2.0,5.0,0.0,0.0,0.3799489622552249
internvl3,large,3295,2.0,5.0,0.0,0.0,0.3799489622552249
internvl3,large,345,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,large,3891,2.0,4.0,0.0,0.0,0.46211715726000974
internvl3,large,4047,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,large,4173,3.0,4.0,0.0,0.0,0.6351489523872873
internvl3,large,4797,3.0,6.0,0.0,0.0,0.46211715726000974
internvl3,large,5062,1.0,4.0,0.0,0.0,0.24491866240370913
internvl3,large,515,2.0,8.0,0.0,0.0,0.24491866240370913
internvl3,large,5201,2.0,8.0,0.0,0.0,0.24491866240370913
internvl3,large,5265,2.0,8.0,0.0,0.0,0.24491866240370913
internvl3,large,5349,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,large,5721,2.0,4.0,0.0,0.0,0.46211715726000974
internvl3,large,6111,3.0,6.0,0.0,0.0,0.46211715726000974
internvl3,large,6215,1.0,6.0,0.0,0.0,0.16514041292462933
internvl3,large,6729,2.0,3.0,0.0,0.0,0.5827829453479101
internvl3,large,6847,3.0,8.0,0.0,0.0,0.35835739835078595
internvl3,large,6878,2.0,7.0,0.0,0.0,0.27818549032570244
internvl3,large,6921,2.0,6.0,0.0,0.0,0.32151273753163434
internvl3,large,7065,2.0,4.0,0.0,0.0,0.46211715726000974
internvl3,large,7150,3.0,4.0,0.0,0.0,0.6351489523872873
internvl3,large,721,2.0,4.0,0.0,0.0,0.46211715726000974
internvl3,large,723,2.0,3.0,0.0,0.0,0.5827829453479101
internvl3,large,733,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,large,7596,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,large,7702,2.0,6.0,0.0,0.0,0.32151273753163434
internvl3,large,8061,3.0,7.0,0.0,0.0,0.4041267397578591
internvl3,large,8085,2.0,5.0,0.0,0.0,0.3799489622552249
internvl3,large,8154,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,large,8551,1.0,1.0,0.0,0.0,0.7615941559557649
internvl3,large,9334,1.0,6.0,0.0,0.0,0.16514041292462933
internvl3,large,9418,2.0,5.0,0.0,0.0,0.3799489622552249
internvl3,large,948,1.0,6.0,0.0,0.0,0.16514041292462933
internvl3,large,9914,1.0,6.0,0.0,0.0,0.16514041292462933
internvl3,original,10408,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,original,10486,2.0,5.0,0.0,0.0,0.3799489622552249
internvl3,original,1111,1.0,5.0,0.0,0.0,0.197375320224904
internvl3,original,11260,3.0,5.0,0.0,0.0,0.5370495669980352
internvl3,original,11340,2.0,4.0,0.0,0.0,0.46211715726000974
internvl3,original,11457,2.0,5.0,0.0,0.0,0.3799489622552249
internvl3,original,11541,1.0,4.0,0.0,0.0,0.24491866240370913
