model,prompt,story_id,coref_ratio,discourse_diversity,char_coherence,topic_switch_rate,mci_tanh_mcc_over_gv,ncs_arithmetic,ncs_geometric
claude45,original,7065,0.5866276548898999,0.6351489523872873,0.3918149434371926,0.5672067690819227,0.8672040182187802,0.6096004676030166,0.5905223886421705
claude45,original,1201,0.7093805217562799,0.4621171572600097,0.0,0.4843621516957148,0.0,0.33117196614240085,0.0004366769973293178
claude45,original,9914,0.4614626231311375,0.7615941559557649,0.0,0.0421457117618946,0.5837350689480938,0.36978751195937815,0.009713279535325619
claude45,original,11678,0.7770670098724379,0.4621171572600097,0.761594150356107,0.2519192137308699,0.2903127826623957,0.5086020627763641,0.4573117220327096
claude45,original,345,0.3321966367976511,0.6351489523872873,0.7615941391567914,0.1083240339183906,0.7404960164568659,0.5155519557433973,0.41884024663589065
claude45,original,721,0.4111162809106542,0.6351489523872873,0.3807970695783957,0.5025145180923639,0.4541331299289624,0.47674199017953267,0.4690003222946451
claude45,original,7195,0.5093100732176662,0.2449186624037091,0.4621171533277711,0.0,0.4502203619954464,0.33331325018891855,0.012101418560363328
claude45,original,2400,0.599833913905728,0.6351489523872873,0.6515737898541187,0.2809774864556383,0.71014846434908,0.5755365213903705,0.5482494255474473
claude45,original,3761,0.4370796780610105,0.4621171572600097,0.7615941517560215,0.1553705143921228,0.7099573540870828,0.5052237711112495,0.4425144395454456
claude45,original,5540,0.264190328819434,0.6351489523872873,0.0,0.0694450693790747,0.0,0.1937568701171592,0.00025899226914405653
claude45,original,3295,0.6506837713662316,0.4621171572600097,0.6118556462422813,0.2321457951689721,0.584203335459378,0.5082011410993745,0.4779904158851713
claude45,original,1214,0.68151993687585,0.3799489622552249,0.0,0.2748298933915633,0.4622372881102599,0.35970721612657963,0.0126889756309797
claude45,original,723,0.7365394569289215,0.3215127375316343,0.3215127345428691,0.4617477922648662,0.8128222797301515,0.5308270001996885,0.4911323834696832
claude45,original,5062,0.7365394569289215,0.4621171572600097,0.0,0.2522760720066364,0.0,0.29018653723911353,0.00038615782583811353
claude45,original,6878,0.4976609523036581,0.4621171572600097,0.0,0.5476716616860021,0.7392874755426498,0.4493474493584639,0.015624418461867781
claude45,original,6729,0.3360654199393775,0.2449186624037091,0.2538647074526061,0.5232255829747159,0.4679251883192847,0.3651999122179387,0.34816306662402313
claude45,original,8061,0.5740849692499455,0.4041267397578591,0.22026041464861626,0.5475890149743246,0.7529106073556201,0.4997943491972731,0.46208905517840965
claude45,original,11719,0.9777808911365928,0.4621171572600097,0.6118556525418963,0.0203908766772967,0.7385204339986441,0.562133002322888,0.3341090610356421
