model,prompt,story_id,character_name,CharTr,CharRe,char_coherence
claude45,original,3295,demi,0.25,0.25,0.062418746747512514
claude45,original,1214,jack,0.0,1.0,0.0
claude45,original,723,james,0.3333333333333333,1.0,0.32151273753163434
claude45,original,5062,__NO_ANNOTATION__,,,
claude45,original,6878,robert,0.0,1.0,0.0
claude45,original,6729,frederic,0.125,0.125,0.015623728558408866
claude45,original,6729,laurence,0.0,0.0,0.0
claude45,original,6729,sam,0.0,0.75,0.0
claude45,original,8061,ellen,0.14285714285714285,1.0,0.14189319376693255
claude45,original,8061,leonardo,0.14285714285714285,0.7142857142857143,0.10168812436848537
claude45,original,8061,robert,0.2857142857142857,0.8571428571428571,0.2401167094949473
claude45,original,11719,billy,1.0,1.0,0.7615941559557649
claude45,original,11719,shia,0.5,1.0,0.46211715726000974
claude45,original,12358,__NO_ANNOTATION__,,,
claude45,original,12423,hailee,0.2,0.2,0.03997868031116358
claude45,original,12423,jeff,0.4,0.8,0.3095069212126385
claude45,original,12423,matt,0.0,0.0,0.0
claude45,original,5047,__NO_ANNOTATION__,,,
claude45,original,13683,bill,0.6,0.6,0.3452140341355209
claude45,original,13683,tom,0.2,0.6,0.11942729853438588
claude45,original,5201,brian,0.0,1.0,0.0
claude45,original,5201,joan,0.125,0.875,0.10894092992085458
claude45,original,5201,julia,0.25,0.625,0.1549907303716235
claude45,original,5201,matt,0.0,0.5,0.0
claude45,original,5201,tom,0.0,0.375,0.0
claude45,original,3891,robert,0.0,0.0,0.0
claude45,original,8551,__NO_ANNOTATION__,,,
claude45,original,2926,charles,0.5,1.0,0.46211715726000974
claude45,original,2926,jeff,0.5,1.0,0.46211715726000974
claude45,original,2926,karen,0.0,0.75,0.0
claude45,original,3230,emmanuelle,0.0,0.0,0.0
claude45,original,3230,jean,0.75,0.75,0.5098299737352565
claude45,original,3230,tom,0.0,0.75,0.0
claude45,original,733,gary,0.6,1.0,0.5370495669980352
claude45,original,733,jennifer,0.4,0.4,0.15864850429749894
claude45,original,4173,heath,0.0,0.0,0.0
claude45,original,4173,mel,0.2857142857142857,0.5714285714285714,0.1618299653758019
claude45,original,10408,ashton,0.2,0.2,0.03997868031116358
claude45,original,10408,greta,0.6,0.6,0.3452140341355209
claude45,original,10408,jake,0.6,0.6,0.3452140341355209
claude45,original,8154,angelina,0.25,0.75,0.1853331999081395
claude45,original,8154,fisher,0.0,0.0,0.0
claude45,original,8154,jonny,0.5,0.5,0.24491866240370913
claude45,original,8154,matthew,0.0,0.0,0.0
claude45,original,8154,renoly,0.0,0.0,0.0
claude45,original,5265,amy,0.5,1.0,0.46211715726000974
claude45,original,5265,christian,0.25,0.75,0.1853331999081395
claude45,original,11340,christoph,0.0,0.0,0.0
claude45,original,11340,daniel,0.75,0.75,0.5098299737352565
claude45,original,10486,robert,0.2,0.2,0.03997868031116358
claude45,original,11541,__NO_ANNOTATION__,,,
claude45,original,11543,__NO_ANNOTATION__,,,
claude45,original,11457,__NO_ANNOTATION__,,,
claude45,original,2702,ben,0.8,0.8,0.5648995528462251
claude45,original,11260,colin,1.0,1.0,0.7615941559557649
claude45,original,11260,jamie,0.0,0.5,0.0
claude45,original,11260,john,0.0,0.5,0.0
claude45,original,1467,rosario,1.0,1.0,0.7615941559557649
claude45,original,9334,harrison,0.6,1.0,0.5370495669980352
claude45,original,6215,nick,0.0,0.0,0.0
claude45,original,9418,daniel,0.2,1.0,0.197375320224904
claude45,original,9418,gary,0.2,0.6,0.11942729853438588
claude45,original,9418,john,0.0,0.0,0.0
claude45,original,13596,emile,1.0,1.0,0.7615941559557649
claude45,original,4047,__NO_ANNOTATION__,,,
claude45,original,6847,ben,0.75,0.75,0.5098299737352565
claude45,original,6847,cameron,0.25,0.25,0.062418746747512514
claude45,original,6847,lin,0.5,0.5,0.24491866240370913
claude45,original,5721,__NO_ANNOTATION__,,,
claude45,original,1111,__NO_ANNOTATION__,,,
claude45,original,7150,david,0.0,0.0,0.0
claude45,original,7150,eric,0.0,0.0,0.0
claude45,original,7150,mark,0.0,0.0,0.0
claude45,original,6111,jason,0.75,0.75,0.5098299737352565
claude45,original,6111,nick,1.0,1.0,0.7615941559557649
claude45,original,515,bradley,0.0,0.25,0.0
claude45,original,515,christian,0.75,1.0,0.6351489523872873
claude45,original,515,shea,0.375,0.875,0.316835001123366
claude45,original,4797,roger,0.0,0.75,0.0
claude45,original,8085,brooke,0.4,0.4,0.15864850429749894
claude45,original,8085,linda,0.4,0.4,0.15864850429749894
claude45,original,8085,richard,0.0,0.0,0.0
claude45,original,8085,sam,0.0,1.0,0.0
claude45,original,7596,kevin,0.4,1.0,0.3799489622552249
claude45,original,7596,william,0.0,0.0,0.0
claude45,original,948,benjamin,0.0,0.0,0.0
claude45,original,948,natalie,0.25,0.75,0.1853331999081395
claude45,original,948,vincent,0.0,0.5,0.0
claude45,original,7702,jude,0.5,0.8333333333333334,0.39411856793081457
claude45,original,7702,nicole,0.3333333333333333,0.6666666666666666,0.2186350836871213
claude45,original,2722,__NO_ANNOTATION__,,,
claude45,original,10499,al,1.0,1.0,0.7615941559557649
claude45,original,10499,robert,0.25,0.25,0.062418746747512514
claude45,large,2926,jeff,0.5,1.0,0.46211715726000974
claude45,large,2926,jim,0.0,1.0,0.0
claude45,large,2926,karen,0.0,0.0,0.0
claude45,large,8551,__NO_ANNOTATION__,,,
claude45,large,6847,ben,0.75,0.75,0.5098299737352565
claude45,large,6847,cameron,0.25,0.25,0.062418746747512514
claude45,large,6847,lin,0.5,1.0,0.46211715726000974
claude45,large,8061,ellen,0.14285714285714285,1.0,0.14189319376693255
claude45,large,8061,leonardo,0.14285714285714285,0.7142857142857143,0.10168812436848537
claude45,large,8061,robert,0.2857142857142857,0.8571428571428571,0.2401167094949473
claude45,large,11340,brad,0.25,1.0,0.24491866240370913
claude45,large,11340,christoph,0.25,1.0,0.24491866240370913
claude45,large,11340,daniel,0.5,0.5,0.24491866240370913
claude45,large,3891,robert,0.0,0.0,0.0
claude45,large,7702,jude,0.25,0.75,0.1853331999081395
claude45,large,7702,nicole,0.5,0.5,0.24491866240370913
claude45,large,10408,ashton,0.2,0.2,0.03997868031116358
claude45,large,10408,greta,0.4,0.4,0.15864850429749894
claude45,large,10408,jake,0.4,0.4,0.15864850429749894
claude45,large,7596,kevin,0.4,1.0,0.3799489622552249
claude45,large,7596,william,0.2,0.2,0.03997868031116358
claude45,large,11260,colin,0.5,0.5,0.24491866240370913
claude45,large,11260,jamie,0.25,0.75,0.1853331999081395
claude45,large,723,james,0.5,1.0,0.46211715726000974
claude45,large,6729,albert,0.0,0.0,0.0
claude45,large,6729,frederic,0.0,0.0,0.0
claude45,large,6729,martin,0.0,0.375,0.0
claude45,large,6729,sam,0.0,0.0,0.0
claude45,large,9334,harrison,0.4,0.8,0.3095069212126385
claude45,large,11719,billy,0.25,0.75,0.1853331999081395
claude45,large,11719,shia,0.25,0.75,0.1853331999081395
claude45,large,6111,jason,1.0,1.0,0.7615941559557649
claude45,large,6111,nick,1.0,1.0,0.7615941559557649
