model,prompt,story_id,CharTr,CharRe,char_coherence
llama4scout,large,11340,0.0,0.0,0.0
llama4scout,large,11457,,,
llama4scout,large,11541,,,
llama4scout,large,11543,,,
llama4scout,large,11678,0.0,0.0,0.0
llama4scout,large,11719,,,
llama4scout,large,12358,,,
llama4scout,large,12423,0.0,0.0,0.0
llama4scout,large,13596,1.0,1.0,0.7615941559557649
llama4scout,large,13683,,,
llama4scout,original,345,,,
llama4scout,original,515,0.7037037037037037,0.8518518518518517,0.5346898463374504
llama4scout,original,721,,,
llama4scout,original,723,,,
llama4scout,original,733,0.0,0.0,0.0
llama4scout,original,948,0.4375,0.5625,0.23002229677981673
llama4scout,original,1111,,,
llama4scout,original,1201,,,
llama4scout,original,1214,,,
llama4scout,original,1467,,,
llama4scout,original,2400,0.5833333333333334,0.75,0.4016643824595509
llama4scout,original,2702,,,
llama4scout,original,2722,,,
llama4scout,original,2926,,,
llama4scout,original,3230,,,
llama4scout,original,3295,,,
llama4scout,original,3761,,,
llama4scout,original,3891,,,
llama4scout,original,4047,,,
llama4scout,original,4173,,,
llama4scout,original,4797,,,
llama4scout,original,5047,,,
llama4scout,original,5062,,,
llama4scout,original,5201,0.5714285714285714,1.0,0.5164076551851798
llama4scout,original,5265,,,
llama4scout,original,5349,,,
llama4scout,original,5540,,,
llama4scout,original,5721,,,
llama4scout,original,6111,,,
llama4scout,original,6215,,,
llama4scout,original,6729,,,
llama4scout,original,6847,,,
llama4scout,original,6878,,,
llama4scout,original,6921,,,
llama4scout,original,7065,,,
llama4scout,original,7150,,,
llama4scout,original,7195,,,
