model,prompt,seed,story_id,character_name,CharTr,CharRe,char_coherence
human,large,seed43,7702,jude,0.75,0.75,0.9999999866666668
human,large,seed43,7702,nicole,0.5,0.5,0.9999999800000003
human,large,seed43,7596,kevin,1.0,1.0,0.9999999900000002
human,large,seed43,7596,william,0.4,0.8,0.49999999375000004
human,large,seed43,7195,gerard,0.75,0.75,0.9999999866666668
human,large,seed43,7195,jennifer,0.75,0.75,0.9999999866666668
human,large,seed43,7150,david,0.75,0.75,0.9999999866666668
human,large,seed43,7150,eric,1.0,1.0,0.9999999900000002
human,large,seed43,7150,mark,0.75,0.75,0.9999999866666668
human,large,seed43,7065,jude,1.0,1.0,0.9999999900000002
human,large,seed43,7065,matt,1.0,1.0,0.9999999900000002
human,large,seed43,6921,matt,1.0,1.0,0.9999999900000002
human,large,seed43,6878,__NO_CHARACTER_MATCH__,,,
human,large,seed43,6847,ben,1.0,1.0,0.9999999900000002
human,large,seed43,6847,cameron,0.0,0.0,0.0
human,large,seed43,6847,lin,0.0,0.5,0.0
human,large,seed43,6729,frederic,0.0,0.0,0.0
human,large,seed43,6729,laurence,0.0,0.625,0.0
human,large,seed43,6729,martin,0.0,0.0,0.0
human,large,seed43,6729,sam,0.0,0.0,0.0
human,large,seed43,6215,jason,0.5,0.8333333333333334,0.5999999928
human,large,seed43,6215,nick,0.16666666666666666,0.16666666666666666,0.9999999400000036
human,large,seed43,6111,dexter,0.5,0.5,0.9999999800000003
human,large,seed43,6111,jason,1.0,1.0,0.9999999900000002
human,large,seed43,5721,__NO_ANNOTATION__,,,
human,large,seed43,5540,__NO_ANNOTATION__,,,
human,large,seed43,5349,james,0.4,1.0,0.3999999960000001
human,large,seed43,5349,kim,1.0,1.0,0.9999999900000002
human,large,seed43,5265,amy,1.0,1.0,0.9999999900000002
human,large,seed43,5265,christian,0.75,0.75,0.9999999866666668
human,large,seed43,5201,brian,0.0,0.0,0.0
human,large,seed43,5201,joan,0.375,0.875,0.4285714236734694
human,large,seed43,5201,julia,0.25,0.625,0.39999999360000005
human,large,seed43,5201,matt,0.625,0.875,0.714285706122449
human,large,seed43,5201,tom,0.0,0.0,0.0
human,large,seed43,5062,__NO_ANNOTATION__,,,
human,large,seed43,5047,__NO_ANNOTATION__,,,
human,large,seed43,4797,__NO_CHARACTER_MATCH__,,,
human,large,seed43,4173,heath,0.0,0.7142857142857143,0.0
human,large,seed43,4173,mel,0.5714285714285714,0.8571428571428571,0.666666658888889
human,large,seed43,4047,__NO_ANNOTATION__,,,
human,large,seed43,3891,val,0.25,0.25,0.9999999600000016
human,large,seed43,3761,jeff,1.0,1.0,0.9999999900000002
human,large,seed43,3761,jim,1.0,1.0,0.9999999900000002
human,large,seed43,3295,dane,1.0,1.0,0.9999999900000002
