model,prompt,seed,story_id,character_name,CharTr,CharRe,char_coherence
human,large,seed43,8154,jonny,0.4,0.4,0.7615941454564064
human,large,seed43,8154,matthew,0.4,0.4,0.7615941454564064
human,large,seed43,8085,linda,0.4,0.4,0.7615941454564064
human,large,seed43,8085,sam,0.6,1.0,0.5370495627285687
human,large,seed43,8061,ellen,0.2857142857142857,1.0,0.27818548768966583
human,large,seed43,8061,leonardo,0.7142857142857143,0.7142857142857143,0.7615941500761241
human,large,seed43,8061,robert,1.0,1.0,0.7615941517560215
human,large,seed43,7702,jude,0.75,0.75,0.761594150356107
human,large,seed43,7702,nicole,0.5,0.5,0.7615941475562781
human,large,seed43,7596,kevin,1.0,1.0,0.7615941517560215
human,large,seed43,7596,william,0.4,0.8,0.46211715234471146
human,large,seed43,7195,gerard,0.75,0.75,0.761594150356107
human,large,seed43,7195,jennifer,0.75,0.75,0.761594150356107
human,large,seed43,7150,david,0.75,0.75,0.761594150356107
human,large,seed43,7150,eric,1.0,1.0,0.7615941517560215
human,large,seed43,7150,mark,0.75,0.75,0.761594150356107
human,large,seed43,7065,jude,1.0,1.0,0.7615941517560215
human,large,seed43,7065,matt,1.0,1.0,0.7615941517560215
human,large,seed43,6921,matt,1.0,1.0,0.7615941517560215
human,large,seed43,6878,__NO_CHARACTER_MATCH__,,,
human,large,seed43,6847,ben,1.0,1.0,0.7615941517560215
human,large,seed43,6847,cameron,0.0,0.0,0.0
human,large,seed43,6847,lin,0.0,0.5,0.0
human,large,seed43,6729,frederic,0.0,0.0,0.0
human,large,seed43,6729,laurence,0.0,0.625,0.0
human,large,seed43,6729,martin,0.0,0.0,0.0
human,large,seed43,6729,sam,0.0,0.0,0.0
human,large,seed43,6215,jason,0.5,0.8333333333333334,0.5370495618746753
human,large,seed43,6215,nick,0.16666666666666666,0.16666666666666666,0.7615941307573048
human,large,seed43,6111,dexter,0.5,0.5,0.7615941475562781
human,large,seed43,6111,jason,1.0,1.0,0.7615941517560215
human,large,seed43,5721,__NO_ANNOTATION__,,,
human,large,seed43,5540,__NO_ANNOTATION__,,,
human,large,seed43,5349,james,0.4,1.0,0.37994895883266977
human,large,seed43,5349,kim,1.0,1.0,0.7615941517560215
human,large,seed43,5265,amy,1.0,1.0,0.7615941517560215
human,large,seed43,5265,christian,0.75,0.75,0.761594150356107
human,large,seed43,5201,brian,0.0,0.0,0.0
human,large,seed43,5201,joan,0.375,0.875,0.40412673565982693
human,large,seed43,5201,julia,0.25,0.625,0.37994895677913665
human,large,seed43,5201,matt,0.625,0.875,0.6133572553031958
human,large,seed43,5201,tom,0.0,0.0,0.0
human,large,seed43,5062,__NO_ANNOTATION__,,,
human,large,seed43,5047,__NO_ANNOTATION__,,,
human,large,seed43,4797,__NO_CHARACTER_MATCH__,,,
human,large,seed43,4173,heath,0.0,0.7142857142857143,0.0
human,large,seed43,4173,mel,0.5714285714285714,0.8571428571428571,0.5827829402117454
human,large,seed43,4047,__NO_ANNOTATION__,,,
human,large,seed43,3891,val,0.25,0.25,0.7615941391567914
human,large,seed43,3761,jeff,1.0,1.0,0.7615941517560215
human,large,seed43,3761,jim,1.0,1.0,0.7615941517560215
human,large,seed43,3295,dane,1.0,1.0,0.7615941517560215
human,large,seed43,3295,demi,0.5,1.0,0.46211715332777115
human,large,seed43,3295,ruben,0.5,0.5,0.7615941475562781
human,large,seed43,3230,jean,0.25,0.75,0.32151273354661414
human,large,seed43,3230,tom,0.25,0.25,0.7615941391567914
human,large,seed43,2926,charles,0.0,0.75,0.0
human,large,seed43,2926,jeff,0.5,1.0,0.46211715332777115
human,large,seed43,2926,jim,1.0,1.0,0.7615941517560215
human,large,seed43,2926,karen,0.25,0.75,0.32151273354661414
human,large,seed43,2722,__NO_ANNOTATION__,,,
human,large,seed43,2702,ben,0.8,0.8,0.7615941507060856
human,large,seed43,2400,audrey,0.25,0.75,0.32151273354661414
human,large,seed43,2400,cary,0.25,0.75,0.32151273354661414
human,large,seed43,2400,george,1.0,1.0,0.7615941517560215
human,large,seed43,2400,jacques,0.25,0.75,0.32151273354661414
human,large,seed43,1467,__NO_CHARACTER_MATCH__,,,
human,large,seed43,1214,jack,1.0,1.0,0.7615941517560215
human,large,seed43,1201,__NO_ANNOTATION__,,,
