model,prompt,seed,story_id,num_chains,avg_chain_size,coref_ratio
claude45,original,42,13683,7,4.714285714285714,0.5866276548898999
claude45,original,42,5201,7,4.428571428571429,0.5592564348363973
claude45,original,42,3891,10,3.4,0.3271741264131678
claude45,original,42,8551,5,3.2,0.5640291275177679
claude45,original,42,2926,7,4.714285714285714,0.5866276548898999
claude45,original,42,3230,7,3.5714285714285716,0.46953702445290096
claude45,original,42,733,7,5.428571428571429,0.6494829562125692
claude45,original,42,4173,7,3.857142857142857,0.500695837915262
claude45,original,42,10408,6,5.833333333333333,0.748969830450033
claude45,original,42,8154,8,3.375,0.3980657062931662
claude45,original,42,5265,6,4.333333333333333,0.6175410392444916
claude45,original,42,11340,5,5.0,0.7607546086956449
claude45,original,42,10486,6,5.0,0.68151993687585
claude45,original,42,11541,7,2.5714285714285716,0.3512096210332125
claude45,original,42,11543,6,4.666666666666667,0.6506837713662316
claude45,original,42,11457,3,3.0,0.7601953582523919
claude45,original,42,2702,4,6.0,0.9044700003543296
claude45,original,42,11260,9,4.666666666666667,0.47611087502006844
claude45,original,42,1467,3,6.666666666666667,0.9764441132252886
claude45,original,42,9334,7,5.285714285714286,0.6375439926172
claude45,original,42,6215,7,2.4285714285714284,0.33321800873465235
claude45,original,42,9418,6,5.333333333333333,0.7101120599669639
claude45,original,42,13596,5,7.6,0.9081674793916036
claude45,original,42,4047,6,7.0,0.8225739141602102
claude45,original,42,6847,4,3.25,0.6698515564701782
claude45,original,42,5721,5,3.2,0.5640291275177679
claude45,original,42,1111,8,5.25,0.5753145349040011
claude45,original,42,7150,7,3.5714285714285716,0.46953702445290096
claude45,original,42,6111,7,5.285714285714286,0.6375439926172
claude45,original,42,515,11,4.090909090909091,0.3553581321988043
claude45,original,42,4797,9,3.4444444444444446,0.3646956596528863
claude45,original,42,8085,11,4.181818181818182,0.3625511361463088
claude45,original,42,7596,3,8.333333333333334,0.9921550210997704
claude45,original,42,948,7,4.285714285714286,0.5450918194998919
claude45,original,42,7702,6,8.166666666666666,0.8761252287450294
claude45,original,42,2722,6,3.3333333333333335,0.5039831266785365
claude45,original,42,10499,8,4.5,0.5093100732176662
claude45,large,42,2926,7,4.428571428571429,0.5592564348363973
claude45,large,42,8551,9,4.333333333333333,0.44700178703667787
claude45,large,42,6847,7,4.428571428571429,0.5592564348363973
claude45,large,42,8061,8,6.0,0.6345900192040864
claude45,large,42,11340,5,5.4,0.7923983238844522
claude45,large,42,3891,7,2.857142857142857,0.3864168117756572
claude45,large,42,7702,6,6.166666666666667,0.7723264083680951
claude45,large,42,10408,7,5.714285714285714,0.6724280447565557
claude45,large,42,7596,6,7.333333333333333,0.8397097927455088
claude45,large,42,11260,6,3.6666666666666665,0.5441934667013559
claude45,large,42,723,9,5.777777777777778,0.5657587616675981
claude45,large,42,6729,11,3.272727272727273,0.2887943717865695
claude45,large,42,9334,7,5.714285714285714,0.6724280447565557
claude45,large,42,11719,7,7.142857142857143,0.7694395460499163
claude45,large,42,6111,5,9.0,0.9464326784672275
claude45,large,42,4173,6,3.8333333333333335,0.5634173782332563
claude45,large,42,2400,8,6.0,0.6345900192040864
claude45,large,42,2722,7,4.857142857142857,0.599833913905728
