model,prompt,story_id,num_chains,avg_chain_size,coref_ratio
internvl3,original,8061,6.0,5.666666666666667,0.7365394569289215
internvl3,original,9334,6.0,7.5,0.8476993843927046
internvl3,original,5265,4.0,7.5,0.9536235050787859
internvl3,original,4797,7.0,4.428571428571429,0.5592564348363973
internvl3,original,5540,8.0,3.75,0.4367153108489706
internvl3,original,948,7.0,3.2857142857142856,0.4371630286577889
internvl3,original,7150,7.0,4.714285714285714,0.5866276548898999
internvl3,original,6921,5.0,8.6,0.9374483042619981
internvl3,original,6111,6.0,3.5,0.5243805889562654
internvl3,original,2722,7.0,7.285714285714286,0.7776239717434635
internvl3,original,12358,8.0,5.375,0.5856610836852646
internvl3,original,7065,7.0,7.571428571428571,0.7932323467023805
internvl3,original,7702,3.0,6.333333333333333,0.9706895565769862
internvl3,original,11260,11.0,3.6363636363636362,0.3187707832256003
internvl3,original,11457,11.0,3.272727272727273,0.2887943717865695
internvl3,original,4173,7.0,5.571428571428571,0.6611100463266596
internvl3,original,13683,9.0,4.555555555555555,0.46651849568592313
internvl3,original,7596,9.0,4.777777777777778,0.48559127633000954
internvl3,original,733,7.0,6.285714285714286,0.7146765836067003
internvl3,original,7195,5.0,8.0,0.9211864116892152
internvl3,original,10408,11.0,4.545454545454546,0.3908880577635153
internvl3,original,5349,12.0,3.5,0.2834447634278623
internvl3,original,8154,10.0,5.2,0.47729897621846734
internvl3,original,6215,7.0,6.0,0.6941496359503724
internvl3,original,2926,8.0,5.0,0.5540592114453677
internvl3,original,1467,4.0,3.75,0.7329915688790408
internvl3,original,5721,9.0,5.0,0.5042127000567824
internvl3,original,1214,5.0,5.6,0.806789922025664
internvl3,original,3295,4.0,5.5,0.8790497469034001
internvl3,original,5062,9.0,3.6666666666666665,0.38588435025437795
internvl3,original,11541,6.0,7.166666666666667,0.8313393309780901
internvl3,original,4047,7.0,8.285714285714286,0.8280764763159343
internvl3,original,10486,7.0,4.142857142857143,0.5306090197278226
internvl3,original,3230,8.0,6.5,0.6704089978322184
internvl3,original,11678,7.0,3.142857142857143,0.42053279340106575
internvl3,original,8551,3.0,2.3333333333333335,0.6499394116396263
internvl3,original,3891,7.0,4.428571428571429,0.5592564348363973
internvl3,original,6729,4.0,4.75,0.8288773922429453
internvl3,original,5047,8.0,5.0,0.5540592114453677
internvl3,original,10499,12.0,5.333333333333333,0.4170159899011177
internvl3,original,2400,11.0,5.090909090909091,0.43202976812080424
internvl3,original,721,7.0,5.285714285714286,0.6375439926172
internvl3,large,5062,8.0,4.125,0.4738172693763117
internvl3,large,10499,9.0,4.0,0.4169141953231067
internvl3,large,9914,5.0,4.8,0.743420937403751
internvl3,large,345,10.0,4.1,0.38812484618825505
internvl3,large,7195,5.0,5.0,0.7607546086956449
internvl3,large,5349,10.0,4.7,0.4378198649220604
internvl3,large,12423,8.0,4.25,0.48582949024120664
internvl3,large,1111,5.0,7.6,0.9081674793916036
internvl3,large,2722,6.0,3.5,0.5243805889562654
internvl3,large,10486,7.0,4.428571428571429,0.5592564348363973
internvl3,large,6847,6.0,6.666666666666667,0.8038014861305588
internvl3,large,515,9.0,5.777777777777778,0.5657587616675981
internvl3,large,6878,6.0,6.833333333333333,0.8133993691420995
internvl3,large,7065,4.0,7.0,0.940876806546837
internvl3,large,3891,6.0,3.6666666666666665,0.5441934667013559
internvl3,large,13683,7.0,3.857142857142857,0.500695837915262
internvl3,large,3295,7.0,4.857142857142857,0.599833913905728
internvl3,large,13596,4.0,5.0,0.8474072141058118
internvl3,large,8154,10.0,3.9,0.37102429945261917
internvl3,large,12358,8.0,5.375,0.5856610836852646
internvl3,large,1214,5.0,6.0,0.8329225598595321
internvl3,large,6111,8.0,5.5,0.5958202352150785
internvl3,large,5201,8.0,3.375,0.3980657062931662
internvl3,large,11457,8.0,2.125,0.2592399110935987
internvl3,large,7702,5.0,5.4,0.7923983238844522
internvl3,large,11340,6.0,4.666666666666667,0.6506837713662316
internvl3,large,5047,7.0,3.142857142857143,0.42053279340106575
internvl3,large,6921,7.0,5.142857142857143,0.6252907543498986
internvl3,large,6729,6.0,4.666666666666667,0.6506837713662316
internvl3,large,3230,6.0,4.0,0.5820499548410306
internvl3,large,10408,12.0,4.0,0.32126385894317583
internvl3,large,8551,8.0,2.375,0.2881103839568279
internvl3,large,721,7.0,3.142857142857143,0.42053279340106575
internvl3,large,1201,7.0,3.2857142857142856,0.4371630286577889
internvl3,large,9418,4.0,5.0,0.8474072141058118
internvl3,large,2400,9.0,3.5555555555555554,0.3753390402210108
internvl3,large,7596,10.0,5.9,0.5294715647667677
internvl3,large,5721,6.0,2.3333333333333335,0.36984352628266143
internvl3,large,2926,11.0,3.727272727272727,0.326169069641717
internvl3,large,11719,5.0,6.0,0.8329225598595321
internvl3,large,11543,7.0,3.857142857142857,0.500695837915262
