model,prompt,story_id,character_name,tc,ic,mcc_raw_char,MCC_char
claude45,original,6215,nick,1.0,0.75,0.75,0.6351489523872873
claude45,original,9418,daniel,0.6666666666666666,0.8333333333333334,0.8333333333333333,0.6822617902381697
claude45,original,9418,gary,0.75,0.75,1.0,0.7615941559557649
claude45,original,9418,john,1.0,0.6666666666666666,0.6666666666666666,0.5827829453479101
claude45,original,13596,emile,1.0,1.0,1.0,0.7615941559557649
claude45,original,4047,__NO_ANNOTATION__,,,,
claude45,original,6847,ben,1.0,0.75,0.75,0.6351489523872873
claude45,original,6847,cameron,1.0,1.0,1.0,0.7615941559557649
claude45,original,6847,lin,1.0,1.0,1.0,0.7615941559557649
claude45,original,5721,__NO_ANNOTATION__,,,,
claude45,original,1111,__NO_ANNOTATION__,,,,
claude45,original,7150,david,1.0,1.0,1.0,0.7615941559557649
claude45,original,7150,eric,1.0,0.8,0.8,0.664036770267849
claude45,original,7150,mark,,1.0,0.0,0.0
claude45,original,6111,dexter,,0.6666666666666666,0.0,0.0
claude45,original,6111,jason,1.0,0.6,0.6,0.5370495669980352
claude45,original,6111,nick,1.0,1.0,1.0,0.7615941559557649
claude45,original,515,bradley,0.6666666666666666,0.6666666666666666,1.0,0.7615941559557649
claude45,original,515,christian,0.7777777777777778,0.875,0.9027777777777778,0.7176477291162803
claude45,original,515,shea,0.625,0.625,1.0,0.7615941559557649
claude45,original,4797,rene,,1.0,0.0,0.0
claude45,original,4797,roger,0.5,1.0,0.5,0.46211715726000974
claude45,original,8085,brooke,1.0,1.0,1.0,0.7615941559557649
claude45,original,8085,linda,1.0,1.0,1.0,0.7615941559557649
claude45,original,8085,richard,,1.0,0.0,0.0
claude45,original,8085,sam,0.3333333333333333,0.5,0.8333333333333333,0.6822617902381697
claude45,original,7596,kevin,0.6666666666666666,1.0,0.6666666666666666,0.5827829453479101
