model,prompt,story_id,mcc_raw,MCC
claude45,original,13596,1.0,0.7615941559557649
claude45,original,4047,,
claude45,original,6847,0.9166666666666666,0.7243166860701286
claude45,original,5721,,
claude45,original,1111,,
claude45,original,7150,0.6,0.5370495669980352
claude45,original,6111,0.5333333333333333,0.487924982649516
claude45,original,515,0.9675925925925926,0.7476444630890402
claude45,original,4797,0.25,0.24491866240370913
claude45,original,8085,0.7083333333333333,0.6096306459723195
claude45,original,7596,0.5333333333333333,0.487924982649516
claude45,original,948,0.6375,0.563194927804731
claude45,original,7702,0.8166666666666667,0.6732515209732411
claude45,original,2722,,
claude45,original,10499,0.85,0.6910694698329306
claude45,large,2926,0.7,0.6043677771171634
claude45,large,8551,,
claude45,large,6847,0.9166666666666666,0.7243166860701286
claude45,large,8061,0.9301587301587301,0.7306678926822323
claude45,large,11340,0.19999999999999998,0.19737532022490398
claude45,large,3891,0.5,0.46211715726000974
claude45,large,7702,0.875,0.703905603936621
claude45,large,10408,1.0,0.7615941559557649
claude45,large,7596,0.5333333333333333,0.487924982649516
claude45,large,11260,0.65,0.5716699660851172
claude45,large,723,0.8472222222222222,0.6896155075258059
claude45,large,6729,0.4,0.3799489622552249
claude45,large,9334,0.8,0.664036770267849
claude45,large,11719,0.875,0.703905603936621
claude45,large,6111,0.5333333333333333,0.487924982649516
claude45,large,4173,0.4583333333333333,0.42872485898211177
claude45,large,2400,0.8,0.664036770267849
claude45,large,2722,,
claude45,large,5062,,
claude45,large,1214,0.6666666666666666,0.5827829453479101
claude45,large,9914,0.9666666666666667,0.7472358212839743
claude45,large,515,0.9166666666666666,0.7243166860701286
claude45,large,1467,1.0,0.7615941559557649
claude45,large,13683,0.41666666666666663,0.3941185679308145
claude45,large,6921,0.6888888888888888,0.5972677289610996
claude45,large,5047,,
claude45,large,11543,,
claude45,large,7065,0.875,0.703905603936621
claude45,large,1111,,
claude45,large,948,0.6208333333333333,0.5517079769625062
claude45,large,9418,0.8055555555555555,0.6671311848914825
claude45,large,3295,1.0,0.7615941559557649
claude45,large,7150,0.6,0.5370495669980352
claude45,large,345,0.5,0.46211715726000974
claude45,large,11678,0.7999999999999999,0.6640367702678489
claude45,large,721,0.75,0.6351489523872873
claude45,large,733,0.9,0.7162978701990245
claude45,large,7195,0.4666666666666667,0.43550211391548
claude45,large,11457,,
claude45,large,12358,,
claude45,large,13596,1.0,0.7615941559557649
claude45,large,10499,0.43333333333333335,0.40810325523432484
claude45,large,5721,,
claude45,large,5201,0.8,0.664036770267849
claude45,large,8085,0.125,0.12435300177159621
claude45,large,2702,0.26666666666666666,0.2605204458355026
claude45,large,6878,0.9333333333333333,0.7321442233518527
claude45,large,1201,,
claude45,large,5265,0.8166666666666667,0.6732515209732411
claude45,large,5540,,
claude45,large,5349,0.9,0.7162978701990245
claude45,large,6215,0.7083333333333333,0.6096306459723195
claude45,large,3761,1.0,0.7615941559557649
claude45,large,8154,0.7833333333333333,0.6546157918341109
claude45,large,12423,0.5222222222222221,0.47941330769732426
claude45,large,4797,0.5,0.46211715726000974
claude45,large,4047,,
claude45,large,11541,,
claude45,large,3230,1.0,0.7615941559557649
claude45,large,10486,0.875,0.703905603936621
gpt4o,original,2400,0.95,0.7397830512740042
gpt4o,original,1201,,
gpt4o,original,6729,0.8273809523809523,0.6790671946332343
gpt4o,original,515,0.7222222222222222,0.618283911510269
gpt4o,original,4173,0.625,0.5545997223493823
gpt4o,original,11340,0.26666666666666666,0.2605204458355026
gpt4o,original,6215,0.7083333333333333,0.6096306459723195
gpt4o,original,13596,1.0,0.7615941559557649
gpt4o,original,6847,0.9166666666666666,0.7243166860701286
gpt4o,original,3761,0.9,0.7162978701990245
gpt4o,original,723,0.7361111111111112,0.6267898358136783
gpt4o,original,13683,0.4375,0.41157005567402244
gpt4o,original,733,0.9,0.7162978701990245
gpt4o,original,11260,0.8222222222222223,0.6762775737016603
gpt4o,original,12423,0.8722222222222222,0.7025014261332673
gpt4o,original,12358,,
gpt4o,original,2926,0.36,0.3452140341355209
gpt4o,original,2722,,
gpt4o,original,6878,0.6,0.5370495669980352
gpt4o,original,10499,0.5833333333333334,0.525083943312195
gpt4o,original,10408,1.0,0.7615941559557649
gpt4o,original,345,0.9,0.7162978701990245
gpt4o,original,11678,0.6666666666666666,0.5827829453479101
gpt4o,original,721,0.9,0.7162978701990245
gpt4o,original,8085,0.9583333333333334,0.7435325248149615
gpt4o,original,10486,0.9583333333333333,0.7435325248149615
gpt4o,original,8061,0.707142857142857,0.6088820667636734
gpt4o,original,1467,0.7,0.6043677771171634
gpt4o,original,7150,0.9833333333333334,0.7545052589201566
gpt4o,original,7065,0.975,0.7508932836251672
gpt4o,original,11541,,
gpt4o,original,3891,0.9,0.7162978701990245
gpt4o,original,7195,0.3333333333333333,0.32151273753163434
gpt4o,original,6921,0.753968253968254,0.637510392144031
gpt4o,original,5540,,
gpt4o,original,8154,0.8433333333333334,0.6875705819182801
gpt4o,original,11457,,
