model,prompt,story_id,groovist,MCC,mci_tanh_mcc_over_gv,mci_tanh_gv_over_mcc
human,large,733,0.4082100846240419,0.7002378497086295,0.9373050263254151,0.5248128917228042
human,large,6878,0.6310820614932277,0.4328812409846,0.5953641837530873,0.8972369795768441
human,large,6111,0.5255329646601771,0.6245855422193907,0.8301069286697401,0.6865555375379718
human,large,3295,0.6673137001882066,0.3905887358572307,0.5265177571592489,0.936460988106183
human,large,2400,0.2792416625302983,0.2897041564318797,0.7768860304787889,0.7460050222981933
human,large,5349,0.7184805919775096,0.6818376375358697,0.7393297088953369,0.7832567052979462
human,large,8551,0.3155336880108141,0.0,0.0,1.0
human,large,7150,0.659823723140079,0.4752103087412045,0.6170381052349018,0.8828377431761086
human,large,2926,0.6149920409986562,0.4155540286641213,0.5887209770562126,0.9014553918250379
human,large,13683,0.419606696871267,0.5972590792583222,0.8903015690143271,0.6059863308679666
human,large,10486,0.7967294647513938,0.6569868527781588,0.6775683285314771,0.8374882537709378
human,large,9334,0.87188782330934,0.7615941559557649,0.703148106709747,0.8160305923379687
human,large,11260,0.280640269643067,0.4014284453781103,0.891748972147406,0.6037987911701165
human,large,8061,0.5553170674442851,0.6335430536864294,0.8147059083214977,0.7046747494961485
claude45,original,7702,0.7627129807093148,0.4487661868353396,0.5287305417073148,0.9353562469394467
claude45,original,9418,0.7996201436004716,0.6755462971806149,0.6883609901651468,0.8286035991474823
claude45,original,13683,0.7196360466436046,0.339866409614354,0.4400359646529386,0.9714485745422795
claude45,original,2722,0.6382344402675747,0.0,0.0,1.0
claude45,original,12358,0.6079299971728898,0.0,0.0,1.0
claude45,original,733,0.6120975480755183,0.7128154631118069,0.8225157156038232,0.6955893743044043
claude45,original,11543,0.8400061085723382,0.0,0.0,1.0
claude45,original,721,0.7773033720974624,0.3807970779778824,0.4541331299289624,0.9668291641879025
claude45,original,10408,0.7508702856634136,0.5711956169668236,0.6414958172923382,0.8654244029457332
claude45,original,11541,0.7751298249536333,0.0,0.0,1.0
claude45,original,948,0.8748197296027811,0.5096066935569511,0.5245001559819319,0.9374591826467237
claude45,original,7596,0.700666897579713,0.4813659538015675,0.5960584565179254,0.8967908253669866
claude45,original,3295,0.7591417883594752,0.5077294373038432,0.584203335459378,0.9042715971243797
claude45,original,5201,0.6264947732789993,0.6153327120046881,0.7540094833589065,0.7691078061758253
claude45,original,345,0.7490888192572547,0.7128154631118069,0.7404960164568659,0.7821511315688502
claude45,original,5265,0.801032832228581,0.2598371445310272,0.31345982795527993,0.9958081105597673
claude45,original,6878,0.6997917636651477,0.664036770267849,0.7392874755426498,0.7832966798804301
claude45,original,6847,0.837553242010641,0.7194457547662724,0.6957343953490142,0.8223924427242788
claude45,original,9334,0.9262361223374592,0.6822617902381697,0.6270841129828244,0.8758343981412322
claude45,original,515,0.914780482716838,0.74694534700927,0.6731765735997607,0.8410337560317563
claude45,original,1111,0.7967260397463651,0.0,0.0,1.0
claude45,original,2400,0.6865203082002039,0.6092753247646119,0.71014846434908,0.8099149335869862
claude45,original,2702,0.8372910048819316,0.221345590089283,0.25836830714398884,0.9989644618162054
claude45,original,723,0.635497872627706,0.7214749119973186,0.8128222797301515,0.7068356579548797
claude45,original,2926,0.720871514013965,0.3775496166967247,0.48058178203675744,0.9570301564263259
claude45,original,11260,0.6277268814013297,0.4481257004345583,0.6131081196738841,0.885520780397933
claude45,original,9914,0.7452560396470046,0.4979127931025391,0.5837350689480938,0.9045610705495981
claude45,original,10486,0.8516853386771045,0.3175744761936436,0.3565062413762449,0.9906764718553757
claude45,original,5349,0.7145951833938218,0.6493218614769001,0.7204869896811634,0.8006876507769329
claude45,original,1467,0.5264681487224246,0.3807970779778824,0.6189523536532267,0.8815193180123962
claude45,original,11678,0.849307763731853,0.2538647186519216,0.29031278266239574,0.9975190659709033
claude45,original,3230,0.876031373121813,0.2310585786300048,0.25780532563720043,0.9989822142404507
claude45,original,6215,0.4974153312344416,0.3175744761936436,0.5638427738656001,0.9164344244774343
claude45,original,7065,0.5679755578146624,0.7506886036148845,0.8672040182187802,0.6390735129791608
claude45,original,4797,0.7323504050342714,0.2310585786300048,0.30543485338627235,0.9964744031404205
claude45,original,13596,0.8722979690508567,0.7615941559557649,0.7029403983486425,0.8162104349131263
claude45,original,8061,0.7446674284869956,0.7295070165407852,0.7529106073556201,0.7701847382921151
claude45,original,4173,0.8235441285522253,0.7506886036148845,0.7218677815155282,0.7994374424163128
claude45,original,11340,0.8104811697546924,0.2538647186519216,0.3033701124121385,0.9966328204749758
